video,matcher,frame_start,frame_end,rotation_error_deg,translation_error_deg,num_matches,num_inliers,mean_reprojection_error_px
cecum_t2_c,ensemble_topfrac0.7_thresh5,0,1,0.254325344830872,73.7937308083578,952,952,2.317641264187761
cecum_t2_c,ensemble_topfrac0.7_thresh5,1,2,0.24257210604849272,67.03589522859345,807,807,4.916872075862296
cecum_t2_c,ensemble_topfrac0.7_thresh5,2,3,0.307076030196214,66.47521837186436,588,588,11.572175622752047
cecum_t2_c,ensemble_topfrac0.7_thresh5,3,4,0.20321184546048462,66.23582244576122,431,431,13.730811547559721
cecum_t2_c,ensemble_topfrac0.7_thresh5,4,5,0.5666874318147365,65.63124698962163,467,467,18.281813462297794
cecum_t2_c,ensemble_topfrac0.7_thresh5,5,6,0.37608090916516906,63.96285318192135,652,652,11.968454124911332
cecum_t2_c,ensemble_topfrac0.7_thresh5,6,7,0.28286633240190534,69.14416480513955,1010,1010,2.060247411169422
cecum_t2_c,ensemble_topfrac0.7_thresh5,7,8,0.23098597545566926,87.35276938062073,854,854,2.8609957359780953
cecum_t2_c,ensemble_topfrac0.7_thresh5,8,9,0.4008247062543261,88.68431370793829,580,580,8.327854397561534
cecum_t2_c,ensemble_topfrac0.7_thresh5,9,10,0.5233717255992216,87.10770890006951,465,465,13.121927485664191
cecum_t2_c,ensemble_topfrac0.7_thresh5,10,11,0.3480885753996359,76.28346007967468,424,424,13.59650966735039
cecum_t2_c,ensemble_topfrac0.7_thresh5,11,12,0.21019933448860179,58.62399766484635,527,527,7.29876892332147
cecum_t2_c,ensemble_topfrac0.7_thresh5,12,13,0.1914153023253423,41.58248553937244,738,738,3.323405382115035
cecum_t2_c,ensemble_topfrac0.7_thresh5,13,15,0.3877077058003243,64.20961260144492,911,911,1.7976864112320468
cecum_t2_c,ensemble_topfrac0.7_thresh5,15,16,0.27011665614998487,43.749596519326666,695,695,16.051085967976153
cecum_t2_c,ensemble_topfrac0.7_thresh5,16,17,0.3828508904507128,52.71214489860665,554,554,27.72024686720254
cecum_t2_c,ensemble_topfrac0.7_thresh5,17,18,0.33741641948514983,70.37391679021638,598,598,27.75478145501592
cecum_t2_c,ensemble_topfrac0.7_thresh5,18,19,0.22763334070168967,83.81085982590997,708,708,15.016131627736078
