video,matcher,frame_start,frame_end,rotation_error_deg,translation_error_deg,num_matches,num_inliers,mean_reprojection_error_px
seq2,ensemble_topfrac0.7_thresh3,0,1,2.1003552391557463,90.0,464,464,0.0
seq2,ensemble_topfrac0.7_thresh3,1,2,8.077421675623384,90.0,90,90,0.0
seq2,ensemble_topfrac0.7_thresh3,2,5,21.79407822849694,90.0,15,15,0.0
seq2,ensemble_topfrac0.7_thresh3,5,6,25.203729865940883,90.0,11,11,0.0
seq2,ensemble_topfrac0.7_thresh3,6,7,46.98425195141544,90.0,11,11,0.0
seq2,ensemble_topfrac0.7_thresh3,7,8,24.61739604733791,90.0,12,12,0.0
seq2,ensemble_topfrac0.7_thresh3,8,9,52.5337498114949,90.0,19,19,0.0
seq2,ensemble_topfrac0.7_thresh3,9,10,19.363231010759666,90.0,73,73,0.0
seq2,ensemble_topfrac0.7_thresh3,10,11,21.454538252935393,90.0,105,105,0.0
seq2,ensemble_topfrac0.7_thresh3,11,12,18.36706564081215,90.0,15,15,0.0
seq2,ensemble_topfrac0.7_thresh3,12,16,5.625676350340731,90.0,12,12,0.0
seq2,ensemble_topfrac0.7_thresh3,16,19,38.49841293917634,90.0,21,21,0.0
seq2,ensemble_topfrac0.7_thresh3,19,20,14.73686476056932,90.0,35,35,0.0
seq2,ensemble_topfrac0.7_thresh3,20,21,8.517166089800169,90.0,14,14,0.0
seq2,ensemble_topfrac0.7_thresh3,21,22,20.570445306331315,90.0,17,17,0.0
seq2,ensemble_topfrac0.7_thresh3,22,23,20.41250911943781,90.0,6,6,0.0
seq2,ensemble_topfrac0.7_thresh3,23,24,9.423977859992279,90.0,23,23,0.0
seq2,ensemble_topfrac0.7_thresh3,24,25,13.89339616676017,90.0,36,36,0.0
seq2,ensemble_topfrac0.7_thresh3,25,26,104.22634027914302,90.0,6,6,0.0
seq2,ensemble_topfrac0.7_thresh3,26,27,16.678125327427196,90.0,19,19,0.0
seq2,ensemble_topfrac0.7_thresh3,27,28,4.907113826785289,90.0,14,14,0.0
seq2,ensemble_topfrac0.7_thresh3,28,29,75.0327622906054,90.0,12,12,0.0
seq2,ensemble_topfrac0.7_thresh3,30,31,42.06595508243621,90.0,9,9,0.0
seq2,ensemble_topfrac0.7_thresh3,31,32,8.52713395299137,90.0,145,145,0.0
seq2,ensemble_topfrac0.7_thresh3,32,33,8.896745670437111,90.0,116,116,0.0
seq2,ensemble_topfrac0.7_thresh3,33,35,11.852686440434685,90.0,132,132,0.0
seq2,ensemble_topfrac0.7_thresh3,35,36,24.13537444540859,90.0,126,126,0.0
seq2,ensemble_topfrac0.7_thresh3,36,37,9.52358528543849,90.0,15,15,0.0
seq2,ensemble_topfrac0.7_thresh3,37,39,17.75976288175606,90.0,16,16,0.0
seq2,ensemble_topfrac0.7_thresh3,39,40,29.77744413693613,90.0,8,8,0.0
seq2,ensemble_topfrac0.7_thresh3,40,42,18.43233422777577,90.0,6,6,0.0
seq2,ensemble_topfrac0.7_thresh3,44,45,23.535247282152042,90.0,15,15,0.0
seq2,ensemble_topfrac0.7_thresh3,45,46,12.892197933017648,90.0,11,11,0.0
seq2,ensemble_topfrac0.7_thresh3,46,47,108.16191794168219,90.0,7,7,0.0
seq2,ensemble_topfrac0.7_thresh3,47,48,35.67352641355491,90.0,7,7,0.0
seq2,ensemble_topfrac0.7_thresh3,49,50,21.760147195947404,90.0,30,30,0.0
seq2,ensemble_topfrac0.7_thresh3,50,51,36.80285430726142,90.0,15,15,0.0
seq2,ensemble_topfrac0.7_thresh3,51,52,9.411149870215967,90.0,135,135,0.0
seq2,ensemble_topfrac0.7_thresh3,52,53,25.300576019068245,90.0,16,16,0.0
seq2,ensemble_topfrac0.7_thresh3,53,55,24.830570000188796,90.0,7,7,0.0
seq2,ensemble_topfrac0.7_thresh3,56,58,32.67249518157227,90.0,6,6,0.0
seq2,ensemble_topfrac0.7_thresh3,58,59,20.202732121507793,90.0,7,7,0.0
seq2,ensemble_topfrac0.7_thresh3,59,61,36.01179767940791,90.0,7,7,0.0
seq2,ensemble_topfrac0.7_thresh3,61,62,39.41487473389699,90.0,13,13,0.0
seq2,ensemble_topfrac0.7_thresh3,62,63,4.633433512650413,90.0,9,9,0.0
seq2,ensemble_topfrac0.7_thresh3,63,64,31.82347137942096,90.0,7,7,0.0
seq2,ensemble_topfrac0.7_thresh3,64,65,30.02521606312058,90.0,31,31,0.0
seq2,ensemble_topfrac0.7_thresh3,65,66,21.665029716840838,90.0,28,28,0.0
seq2,ensemble_topfrac0.7_thresh3,66,67,62.98428370752593,90.0,21,21,0.0
seq2,ensemble_topfrac0.7_thresh3,67,68,25.918409643374098,90.0,32,32,0.0
seq2,ensemble_topfrac0.7_thresh3,68,69,30.822539797287167,90.0,51,51,0.0
seq2,ensemble_topfrac0.7_thresh3,69,70,11.596768150592482,90.0,47,47,0.0
seq2,ensemble_topfrac0.7_thresh3,70,71,6.219273261388848,90.0,86,86,0.0
seq2,ensemble_topfrac0.7_thresh3,71,72,30.36495026752466,90.0,56,56,0.0
seq2,ensemble_topfrac0.7_thresh3,72,73,33.19389973725981,90.0,69,69,0.0
seq2,ensemble_topfrac0.7_thresh3,73,74,64.75436631603021,90.0,26,26,0.0
seq2,ensemble_topfrac0.7_thresh3,74,75,46.35509716885558,90.0,13,13,0.0
seq2,ensemble_topfrac0.7_thresh3,75,76,2.890214880258475,90.0,19,19,0.0
seq2,ensemble_topfrac0.7_thresh3,76,77,101.5464507746744,90.0,21,21,0.0
seq2,ensemble_topfrac0.7_thresh3,77,78,12.040187671484542,90.0,27,27,0.0
seq2,ensemble_topfrac0.7_thresh3,78,79,13.70237326529117,90.0,29,29,0.0
seq2,ensemble_topfrac0.7_thresh3,79,80,63.53293219722862,90.0,13,13,0.0
seq2,ensemble_topfrac0.7_thresh3,80,82,31.793773846120153,90.0,11,11,0.0
seq2,ensemble_topfrac0.7_thresh3,82,83,14.30352222160069,90.0,27,27,0.0
seq2,ensemble_topfrac0.7_thresh3,83,85,39.22460658406834,90.0,6,6,0.0
seq2,ensemble_topfrac0.7_thresh3,85,86,37.72555276653165,90.0,7,7,0.0
seq2,ensemble_topfrac0.7_thresh3,86,89,136.26942790086895,90.0,10,10,0.0
seq2,ensemble_topfrac0.7_thresh3,89,90,9.818161462331584,90.0,129,129,0.0
seq2,ensemble_topfrac0.7_thresh3,90,91,16.968312611376152,90.0,44,44,0.0
seq2,ensemble_topfrac0.7_thresh3,91,93,18.38187462214689,90.0,67,67,0.0
seq2,ensemble_topfrac0.7_thresh3,93,94,22.169168334216106,90.0,16,16,0.0
seq2,ensemble_topfrac0.7_thresh3,94,95,21.18275171698271,90.0,47,47,0.0
seq2,ensemble_topfrac0.7_thresh3,95,96,11.804477755357842,90.0,78,78,0.0
seq2,ensemble_topfrac0.7_thresh3,97,98,32.39657885858085,90.0,7,7,0.0
seq2,ensemble_topfrac0.7_thresh3,98,100,24.03641494485531,90.0,7,7,0.0
seq2,ensemble_topfrac0.7_thresh3,100,101,15.266796781979815,90.0,22,22,0.0
seq2,ensemble_topfrac0.7_thresh3,101,102,110.20738915965485,90.0,7,7,0.0
seq2,ensemble_topfrac0.7_thresh3,103,104,23.713501826581147,90.0,7,7,0.0
seq2,ensemble_topfrac0.7_thresh3,104,109,15.650173488238364,90.0,13,13,0.0
seq2,ensemble_topfrac0.7_thresh3,109,110,78.10101113644194,90.0,12,12,0.0
seq2,ensemble_topfrac0.7_thresh3,110,111,39.03394656100527,90.0,7,7,0.0
seq2,ensemble_topfrac0.7_thresh3,111,113,25.58691757439462,90.0,8,8,0.0
seq2,ensemble_topfrac0.7_thresh3,113,117,46.336614314270115,90.0,8,8,0.0
seq2,ensemble_topfrac0.7_thresh3,117,118,24.349831199228866,90.0,30,30,0.0
seq2,ensemble_topfrac0.7_thresh3,118,119,15.562855178484787,90.0,55,55,0.0
