video,matcher,frame_start,frame_end,rotation_error_deg,translation_error_deg,num_matches,num_inliers,mean_reprojection_error_px
sigmoid_t3_b,ensemble_topfrac0.3_thresh3,0,1,0.05866299705751607,69.35487589340926,228,228,2.368495153830201
sigmoid_t3_b,ensemble_topfrac0.3_thresh3,1,2,0.11856334068882048,70.49736556679318,142,142,11.895075724274799
sigmoid_t3_b,ensemble_topfrac0.3_thresh3,2,3,0.10465061021677081,68.59475575361644,154,154,40.74082268502843
sigmoid_t3_b,ensemble_topfrac0.3_thresh3,3,4,0.19368314942869266,68.22851212726972,179,179,50.50552228670208
sigmoid_t3_b,ensemble_topfrac0.3_thresh3,4,5,0.301464074288051,67.9290481751193,266,266,30.734761561803236
sigmoid_t3_b,ensemble_topfrac0.3_thresh3,5,6,0.31766667920573705,62.68855956965685,341,341,13.294243834842415
sigmoid_t3_b,ensemble_topfrac0.3_thresh3,6,7,0.10450976402780311,35.06316362831589,572,572,8.275972036787515
sigmoid_t3_b,ensemble_topfrac0.3_thresh3,7,8,0.19509646427420826,43.79012541652649,540,540,6.333395904394003
sigmoid_t3_b,ensemble_topfrac0.3_thresh3,8,9,0.20117888800583247,41.74393471010747,381,381,6.696998208993232
sigmoid_t3_b,ensemble_topfrac0.3_thresh3,9,10,0.08661095196804067,44.40335514568176,532,532,10.749446674844853
sigmoid_t3_b,ensemble_topfrac0.3_thresh3,10,11,0.0569200022810107,48.82574560247323,668,668,13.767016877832523
sigmoid_t3_b,ensemble_topfrac0.3_thresh3,11,12,0.22217262245749073,35.64336012773076,491,491,1.6888965763278374
sigmoid_t3_b,ensemble_topfrac0.3_thresh3,12,13,0.14424530480820813,31.60868075934769,361,361,18.753283211047933
sigmoid_t3_b,ensemble_topfrac0.3_thresh3,13,14,0.17131395013057457,27.051601137097133,264,264,33.99468873585996
sigmoid_t3_b,ensemble_topfrac0.3_thresh3,14,15,0.05471920859498646,22.808127953328707,230,230,27.841530842314825
sigmoid_t3_b,ensemble_topfrac0.3_thresh3,15,16,0.09304320617967177,17.529019944981965,236,236,6.509550960523268
sigmoid_t3_b,ensemble_topfrac0.3_thresh3,16,17,0.09767804312809912,20.11774407348282,304,304,6.944982248545662
