video,matcher,frame_start,frame_end,rotation_error_deg,translation_error_deg,num_matches,num_inliers,mean_reprojection_error_px
trans_t4_a,ensemble_topfrac0.2_thresh3,0,1,0.0,30.027257851038193,245,245,9.12415358821528
trans_t4_a,ensemble_topfrac0.2_thresh3,1,2,0.3620956896060408,29.698753594669444,90,90,55.5385913014741
trans_t4_a,ensemble_topfrac0.2_thresh3,2,3,0.40328748687085714,32.06116579755287,67,67,67.26625951263094
trans_t4_a,ensemble_topfrac0.2_thresh3,3,4,0.5395136544177338,35.062869153568776,59,59,80.10225862442617
trans_t4_a,ensemble_topfrac0.2_thresh3,4,5,0.11751411093309783,36.996694732787496,87,87,86.70476713217457
trans_t4_a,ensemble_topfrac0.2_thresh3,5,6,0.04752077854131603,42.59795288462687,212,212,29.35469388674391
trans_t4_a,ensemble_topfrac0.2_thresh3,6,7,0.5259849842266017,25.922756104333637,80,80,130.00945183724943
trans_t4_a,ensemble_topfrac0.2_thresh3,7,8,0.12201991124703346,28.923537401601894,151,151,45.31845553532898
trans_t4_a,ensemble_topfrac0.2_thresh3,8,9,0.19303343425645603,24.720232638993675,118,118,56.158807954577185
trans_t4_a,ensemble_topfrac0.2_thresh3,9,10,0.26727000700264225,25.945806891404132,62,62,50.302385721248385
trans_t4_a,ensemble_topfrac0.2_thresh3,10,11,0.0,16.936098890923052,486,486,22.911790283816092
trans_t4_a,ensemble_topfrac0.2_thresh3,11,12,0.08370180446614756,40.17236901710003,620,620,42.248651276398306
