video,matcher,frame_start,frame_end,rotation_error_deg,translation_error_deg,num_matches,num_inliers,mean_reprojection_error_px
cecum_t2_b,disk-lg,0,1,0.15469618643226,61.607976527485306,322,322,7.121116532566039
cecum_t2_b,disk-lg,1,2,0.1940803958683839,56.515309176294515,313,313,2.3151071888895474
cecum_t2_b,disk-lg,2,3,0.20038288958988423,56.0688939373112,310,310,2.069934124747898
cecum_t2_b,disk-lg,3,4,0.9372935094912185,77.12605041844326,266,266,3.824760161862117
cecum_t2_b,disk-lg,4,5,0.6705382642260294,61.36036703644622,293,293,2.019915703171694
cecum_t2_b,disk-lg,5,6,0.6215700119640831,28.916981492372425,306,306,4.781812938145888
cecum_t2_b,disk-lg,6,7,0.13109151269238503,53.85461864894428,392,392,6.2575812282592596
cecum_t2_b,disk-lg,7,10,0.1544127863560402,48.95536050659984,395,395,3.8286861494384077
cecum_t2_b,disk-lg,10,11,0.29602642444492183,66.1339815054876,432,432,2.530823973512688
cecum_t2_b,disk-lg,11,12,0.49845077313925634,60.19725465459677,378,378,8.963997213579061
cecum_t2_b,disk-lg,12,13,0.4067559853908556,59.44282185916506,311,311,14.85862424647984
cecum_t2_b,disk-lg,13,14,0.28501004568398053,57.816570692811986,321,321,19.31350251966626
cecum_t2_b,disk-lg,14,15,2.6307668895366016,50.12943438250726,415,415,30.68498049073877
cecum_t2_b,disk-lg,15,16,1.9700406659554046,45.83160872304217,552,552,17.907713765971703
cecum_t2_b,disk-lg,16,17,0.11997532492256685,55.889293870112205,743,743,3.4461774106611323
cecum_t2_b,disk-lg,17,18,0.12236270130880576,55.552376806843284,813,813,14.615770834027206
cecum_t2_b,disk-lg,18,19,0.15273935190049465,61.79838180240874,572,572,6.229688421472182
cecum_t2_b,disk-lg,19,20,0.2404305147006253,58.609919844058986,347,347,44.6956972702801
cecum_t2_b,disk-lg,20,21,1.6369124070500167,24.824155070555097,198,198,9.098049577293445
cecum_t2_b,disk-lg,21,22,1.9327102373873966,30.68100802988094,243,243,15.277746263155816
cecum_t2_b,disk-lg,22,23,1.0681777017708949,66.64103141176962,251,251,34.104608464077344
cecum_t2_b,disk-lg,23,24,0.5593212155298227,59.02111560768854,311,311,21.365644723654945
cecum_t2_b,disk-lg,24,25,1.0916616396337417,48.277707615688634,410,410,11.530595503109177
cecum_t2_b,disk-lg,25,26,0.802192693880853,51.23124941140261,578,578,4.241731941196891
cecum_t2_b,disk-lg,26,27,0.3980140734021722,69.96553852550656,719,719,2.974538266347953
cecum_t2_b,disk-lg,27,28,0.0690670119906657,81.33088932777221,858,858,8.637579013349486
cecum_t2_b,disk-lg,28,29,0.32775150245058055,86.21257423046202,689,689,6.346857595979806
cecum_t2_b,disk-lg,29,30,0.8127530322362206,79.06758853597265,512,512,5.8197512029995675
cecum_t2_b,disk-lg,30,31,0.7701577010909785,79.47243437451591,379,379,18.51207270920226
cecum_t2_b,disk-lg,31,32,1.8263049330651493,71.38169183816602,317,317,17.02545050859893
cecum_t2_b,disk-lg,32,33,2.110140725209784,71.21035962739248,283,283,21.510531564204964
cecum_t2_b,disk-lg,33,34,2.7932729430002317,21.798323267733693,393,393,4.110975714362958
cecum_t2_b,disk-lg,34,35,0.5877400040174026,66.76045155818761,478,478,9.235800860677172
cecum_t2_b,disk-lg,35,36,1.2251367179597972,23.208954932408417,592,592,3.7767256309932216
cecum_t2_b,disk-lg,36,37,0.7461892580917489,8.962536996544463,677,677,3.690249174313738
cecum_t2_b,disk-lg,37,38,0.12870287992428053,24.4406586778739,838,838,5.733360193095869
