video,matcher,frame_start,frame_end,rotation_error_deg,translation_error_deg,num_matches,num_inliers,mean_reprojection_error_px
cecum_t2_c,gim-lg,0,1,0.218848364479514,72.49341414529766,429,429,2.498090472165299
cecum_t2_c,gim-lg,1,2,0.18021171197672597,64.53189805609254,365,365,5.574395801354288
cecum_t2_c,gim-lg,2,3,0.33469619932883465,63.33758871736039,240,240,12.78910115451107
cecum_t2_c,gim-lg,3,4,0.41777294336381526,65.49021448613284,124,124,15.233604626377005
cecum_t2_c,gim-lg,4,5,0.39873920998551377,69.68845125578886,155,155,13.980110040576543
cecum_t2_c,gim-lg,5,6,0.3837664047075344,67.60090633967876,292,292,8.930051876020265
cecum_t2_c,gim-lg,6,7,0.29109927506698774,68.42181332342138,591,591,1.9401312427869808
cecum_t2_c,gim-lg,7,8,0.232511466248499,88.4851735594879,523,523,2.853210827364418
cecum_t2_c,gim-lg,8,9,0.5594996857241494,86.1835188791302,244,244,7.029253240260099
cecum_t2_c,gim-lg,9,10,0.8280671564633459,84.64731119426526,226,226,9.360338794698364
cecum_t2_c,gim-lg,10,11,0.6261600961555612,83.40898266405766,174,174,10.07757352277252
cecum_t2_c,gim-lg,11,12,0.23313193407781627,59.94274369997885,202,202,6.202268757152609
cecum_t2_c,gim-lg,12,13,0.22795269034265472,39.83974122708422,326,326,3.3159771991432283
cecum_t2_c,gim-lg,13,15,0.3786355428407898,64.04245672820429,451,451,1.7338860485998655
cecum_t2_c,gim-lg,15,16,0.21312430931172516,42.33577450519142,289,289,14.159584846006913
cecum_t2_c,gim-lg,16,17,0.2222001782346812,53.57781358779759,224,224,21.896200953633382
cecum_t2_c,gim-lg,17,18,0.30542338005816483,70.20375088665324,271,271,18.286876241588253
cecum_t2_c,gim-lg,18,19,0.3515529067608867,83.14612684510614,337,337,10.050700328735749
