frame_start,frame_end,skipped_frames,skip_used,success,reason
0,2.0,[1],2.0,True,
2,3.0,[],1.0,True,
3,4.0,[],1.0,True,
4,5.0,[],1.0,True,
5,6.0,[],1.0,True,
6,8.0,[7],2.0,True,
8,9.0,[],1.0,True,
9,10.0,[],1.0,True,
10,11.0,[],1.0,True,
11,12.0,[],1.0,True,
12,13.0,[],1.0,True,
13,15.0,[14],2.0,True,
15,16.0,[],1.0,True,
16,17.0,[],1.0,True,
17,18.0,[],1.0,True,
18,19.0,[],1.0,True,
19,20.0,[],1.0,True,
20,21.0,[],1.0,True,
21,22.0,[],1.0,True,
22,23.0,[],1.0,True,
23,,[24],,False,Pose estimation failed
