video,matcher,frame_start,frame_end,rotation_error_deg,translation_error_deg,num_matches,num_inliers,mean_reprojection_error_px
cecum_t4_b,gim-lg,0,1,0.10875294435629561,0.7797646686451256,459,459,2.1236797027404077
cecum_t4_b,gim-lg,1,2,1.0625458587645684,14.434798948692631,236,236,12.840269815165511
cecum_t4_b,gim-lg,2,3,0.7232562599868296,3.956301636439273,184,184,21.267450819658684
cecum_t4_b,gim-lg,3,4,0.8657494375300883,8.634253314036494,123,123,37.05972982544414
cecum_t4_b,gim-lg,4,5,0.8398623221970644,5.740166822875029,115,115,47.69471759241955
cecum_t4_b,gim-lg,5,6,0.23881588350890476,2.2779603499370875,139,139,49.416558662443386
cecum_t4_b,gim-lg,6,7,0.7152380678669797,11.50389181860166,298,298,33.347671877847155
cecum_t4_b,gim-lg,7,8,0.09828366481708696,7.269237044223139,931,931,6.485758118063457
cecum_t4_b,gim-lg,8,9,0.13789062338718977,5.732914274229061,422,422,17.10642810353894
cecum_t4_b,gim-lg,9,10,0.31844320900493245,1.5027319943193909,237,237,33.72006275277249
cecum_t4_b,gim-lg,10,11,1.5097076343764517,5.901521580134369,153,153,41.779274480559565
cecum_t4_b,gim-lg,11,12,0.7506602457943163,3.311030708246336,124,124,44.12046355606611
cecum_t4_b,gim-lg,12,13,0.8169785921081582,8.18200798586342,188,188,27.00682232298281
cecum_t4_b,gim-lg,13,14,0.28213371611770327,7.621150424002129,246,246,28.452270524480365
