video,matcher,frame_start,frame_end,rotation_error_deg,translation_error_deg,num_matches,num_inliers,mean_reprojection_error_px
seq2,gim-lg,0,1,4.115913002497153,90.0,271,271,0.0
seq2,gim-lg,1,2,15.011524656535508,90.0,10,10,0.0
seq2,gim-lg,6,7,171.5052980074423,90.0,6,6,0.0
seq2,gim-lg,8,10,46.56552418460307,90.0,6,6,0.0
seq2,gim-lg,10,11,22.058171990874072,90.0,46,46,0.0
seq2,gim-lg,11,12,14.959193630924794,90.0,7,7,0.0
seq2,gim-lg,15,18,21.654701374214625,90.0,14,14,0.0
seq2,gim-lg,19,21,14.998597059684961,90.0,7,7,0.0
seq2,gim-lg,21,22,19.88315784658744,90.0,6,6,0.0
seq2,gim-lg,22,24,17.606064063760844,90.0,10,10,0.0
seq2,gim-lg,24,25,12.396011060873075,90.0,20,20,0.0
seq2,gim-lg,25,28,22.11780921211694,90.0,6,6,0.0
seq2,gim-lg,31,32,9.161617233914502,90.0,21,21,0.0
seq2,gim-lg,32,33,5.366981095570933,90.0,24,24,0.0
seq2,gim-lg,33,35,17.495265130115772,90.0,17,17,0.0
seq2,gim-lg,35,36,21.30552333082575,90.0,50,50,0.0
seq2,gim-lg,37,39,44.30158482041177,90.0,6,6,0.0
seq2,gim-lg,39,44,29.005473282541207,90.0,7,7,0.0
seq2,gim-lg,44,45,27.30148375371957,90.0,6,6,0.0
seq2,gim-lg,45,47,6.499442328188686,90.0,25,25,0.0
seq2,gim-lg,50,51,32.392781576982834,90.0,6,6,0.0
seq2,gim-lg,51,52,7.162135346623895,90.0,20,20,0.0
seq2,gim-lg,52,53,44.24815362951876,90.0,10,10,0.0
seq2,gim-lg,54,55,26.137698851655724,90.0,6,6,0.0
seq2,gim-lg,60,61,59.19351468101205,90.0,11,11,0.0
seq2,gim-lg,61,64,68.3199336142168,90.0,15,15,0.0
seq2,gim-lg,64,65,30.028798077592768,90.0,7,7,0.0
seq2,gim-lg,65,66,69.47550452480877,90.0,7,7,0.0
seq2,gim-lg,66,69,15.759132119767415,90.0,23,23,0.0
seq2,gim-lg,69,70,30.42218929478886,90.0,8,8,0.0
seq2,gim-lg,70,71,6.173607549340795,90.0,25,25,0.0
seq2,gim-lg,71,72,20.082189058269652,90.0,8,8,0.0
seq2,gim-lg,72,73,33.16561349471336,90.0,13,13,0.0
seq2,gim-lg,73,74,63.163065300743106,90.0,11,11,0.0
seq2,gim-lg,74,75,49.14996402707751,90.0,8,8,0.0
seq2,gim-lg,76,77,85.99208787786965,90.0,18,18,0.0
seq2,gim-lg,77,78,11.659316757107677,90.0,8,8,0.0
seq2,gim-lg,78,79,4.169703154549934,90.0,6,6,0.0
seq2,gim-lg,79,84,10.639392721267592,90.0,26,26,0.0
seq2,gim-lg,85,87,117.69541466521524,90.0,8,8,0.0
seq2,gim-lg,89,90,11.663659284240893,90.0,11,11,0.0
seq2,gim-lg,90,93,16.858216890687316,90.0,7,7,0.0
seq2,gim-lg,94,95,19.4536681134118,90.0,15,15,0.0
seq2,gim-lg,95,96,25.309522789253048,90.0,15,15,0.0
seq2,gim-lg,114,115,90.11952687304901,90.0,7,7,0.0
seq2,gim-lg,117,118,60.014427163020365,90.0,8,8,0.0
seq2,gim-lg,118,119,33.94248651521316,90.0,17,17,0.0
seq2,gim-lg,119,122,10.658306512628979,90.0,29,29,0.0
seq2,gim-lg,122,123,17.060161237410682,90.0,6,6,0.0
seq2,gim-lg,123,124,33.08904230423601,90.0,7,7,0.0
seq2,gim-lg,124,125,56.318026023836055,90.0,15,15,0.0
seq2,gim-lg,125,126,71.43738559347581,90.0,9,9,0.0
seq2,gim-lg,126,127,26.789340424476094,90.0,23,23,0.0
seq2,gim-lg,127,128,28.72176431385351,90.0,9,9,0.0
seq2,gim-lg,128,129,40.62660771416684,90.0,6,6,0.0
seq2,gim-lg,129,130,45.01283643121718,90.0,8,8,0.0
seq2,gim-lg,133,134,36.41124155972398,90.0,14,14,0.0
seq2,gim-lg,134,135,36.68243688636971,90.0,8,8,0.0
seq2,gim-lg,135,139,73.54593338639496,90.0,14,14,0.0
seq2,gim-lg,140,141,53.706722827017906,90.0,18,18,0.0
seq2,gim-lg,141,144,28.445438176291812,90.0,7,7,0.0
seq2,gim-lg,144,145,17.009300131584947,90.0,7,7,0.0
seq2,gim-lg,145,146,30.17699876850123,90.0,10,10,0.0
seq2,gim-lg,146,147,26.09665448804458,90.0,12,12,0.0
seq2,gim-lg,147,148,20.048834841531267,90.0,16,16,0.0
seq2,gim-lg,148,151,65.16349967504718,90.0,6,6,0.0
seq2,gim-lg,151,152,15.405469408166784,90.0,21,21,0.0
seq2,gim-lg,152,153,20.114652976881448,90.0,36,36,0.0
seq2,gim-lg,154,155,57.55379213544115,90.0,6,6,0.0
seq2,gim-lg,155,159,46.42092092326119,90.0,6,6,0.0
seq2,gim-lg,159,160,14.534532330928814,90.0,114,114,0.0
seq2,gim-lg,161,162,27.07525439865297,90.0,44,44,0.0
