video,matcher,frame_start,frame_end,rotation_error_deg,translation_error_deg,num_matches,num_inliers,mean_reprojection_error_px
seq4,disk-lg,0,2,29.512168437714838,90.0,26,26,0.0
seq4,disk-lg,2,3,50.78531738427601,90.0,23,23,0.0
seq4,disk-lg,4,7,16.297999576378164,90.0,202,202,0.0
seq4,disk-lg,7,11,45.41925237245895,90.0,54,54,0.0
seq4,disk-lg,12,14,78.34061157392429,90.0,6,6,0.0
seq4,disk-lg,14,17,34.61179912332576,90.0,66,66,0.0
seq4,disk-lg,17,18,52.65760184953274,90.0,15,15,0.0
seq4,disk-lg,18,19,51.15494847287665,90.0,6,6,0.0
seq4,disk-lg,19,20,61.669646611243365,90.0,6,6,0.0
seq4,disk-lg,24,27,66.30399696364628,90.0,79,79,0.0
seq4,disk-lg,27,30,34.78686001990383,90.0,77,77,0.0
seq4,disk-lg,30,34,107.81629842508869,90.0,8,8,0.0
seq4,disk-lg,34,35,36.04418768285265,90.0,232,232,0.0
seq4,disk-lg,35,36,25.921874023290393,90.0,392,392,0.0
seq4,disk-lg,36,37,36.316764471901855,90.0,396,396,0.0
seq4,disk-lg,37,38,14.79947764968201,90.0,979,979,0.0
seq4,disk-lg,38,39,7.227016039033831,90.0,237,237,0.0
seq4,disk-lg,39,42,25.281806882770194,90.0,91,91,0.0
seq4,disk-lg,42,43,23.04908705612106,90.0,164,164,0.0
seq4,disk-lg,43,44,7.3404102171196355,90.0,330,330,0.0
seq4,disk-lg,44,45,10.702772797756264,90.0,555,555,0.0
seq4,disk-lg,45,46,14.994523357560189,90.0,329,329,0.0
seq4,disk-lg,48,49,21.489219092725694,90.0,184,184,0.0
seq4,disk-lg,49,50,35.62371105067182,90.0,392,392,0.0
seq4,disk-lg,50,51,46.359580655194364,90.0,270,270,0.0
seq4,disk-lg,51,53,57.47803393554202,90.0,62,62,0.0
seq4,disk-lg,53,54,30.876292479541874,90.0,384,384,0.0
seq4,disk-lg,56,57,34.9273628345129,90.0,103,103,0.0
seq4,disk-lg,60,61,36.08385026349673,90.0,12,12,0.0
seq4,disk-lg,61,62,33.02704340647553,90.0,99,99,0.0
seq4,disk-lg,63,64,70.08527261650276,90.0,7,7,0.0
seq4,disk-lg,64,65,81.26941221520929,90.0,68,68,0.0
seq4,disk-lg,65,66,19.483588090134877,90.0,219,219,0.0
seq4,disk-lg,66,69,80.73282021409302,90.0,31,31,0.0
seq4,disk-lg,69,70,21.684345855239265,90.0,39,39,0.0
seq4,disk-lg,70,71,15.715327111006276,90.0,30,30,0.0
seq4,disk-lg,71,72,33.457068407947745,90.0,172,172,0.0
seq4,disk-lg,72,73,23.936227855546637,90.0,10,10,0.0
seq4,disk-lg,73,75,17.71633509051013,90.0,95,95,0.0
seq4,disk-lg,75,76,13.817163542456772,90.0,66,66,0.0
seq4,disk-lg,76,77,35.49025881800523,90.0,21,21,0.0
seq4,disk-lg,78,81,134.5637112563246,90.0,9,9,0.0
seq4,disk-lg,83,84,35.53228198872394,90.0,62,62,0.0
seq4,disk-lg,86,89,52.84914871031123,90.0,6,6,0.0
seq4,disk-lg,90,93,56.497187723076784,90.0,94,94,0.0
seq4,disk-lg,93,95,17.891610898954085,90.0,42,42,0.0
seq4,disk-lg,95,96,36.271573965764304,90.0,128,128,0.0
seq4,disk-lg,96,97,29.854869614732326,90.0,131,131,0.0
seq4,disk-lg,97,98,26.643479160266004,90.0,639,639,0.0
seq4,disk-lg,98,100,34.24466059753529,90.0,115,115,0.0
seq4,disk-lg,100,101,33.938607291195225,90.0,243,243,0.0
seq4,disk-lg,105,107,102.13195172395797,90.0,11,11,0.0
seq4,disk-lg,107,108,6.272980768172075,90.0,278,278,0.0
seq4,disk-lg,110,111,126.09750654525203,90.0,55,55,0.0
seq4,disk-lg,112,113,11.918563596008285,90.0,219,219,0.0
seq4,disk-lg,113,114,4.550935256755183,90.0,76,76,0.0
seq4,disk-lg,114,115,1.2537176880765528,90.0,96,96,0.0
seq4,disk-lg,115,116,38.52914709148608,90.0,50,50,0.0
seq4,disk-lg,118,120,53.20949423012926,90.0,7,7,0.0
seq4,disk-lg,121,122,119.28276423314885,90.0,6,6,0.0
seq4,disk-lg,123,124,29.41599346755887,90.0,46,46,0.0
seq4,disk-lg,125,126,41.627048673703506,90.0,319,319,0.0
seq4,disk-lg,130,131,15.147285945604636,90.0,58,58,0.0
seq4,disk-lg,132,136,79.52975242193207,90.0,6,6,0.0
seq4,disk-lg,136,137,21.16646051574055,90.0,73,73,0.0
seq4,disk-lg,137,138,16.384749175506343,90.0,71,71,0.0
seq4,disk-lg,138,140,47.97352181875206,90.0,76,76,0.0
seq4,disk-lg,142,144,161.07429804051347,90.0,7,7,0.0
seq4,disk-lg,147,149,27.523858142812827,90.0,8,8,0.0
seq4,disk-lg,149,150,12.002196896468995,90.0,30,30,0.0
seq4,disk-lg,151,152,9.322199046552344,90.0,175,175,0.0
seq4,disk-lg,152,153,27.834738176142736,90.0,63,63,0.0
seq4,disk-lg,154,156,169.6561865480316,90.0,6,6,0.0
seq4,disk-lg,157,158,11.580102491046572,90.0,129,129,0.0
