video,matcher,frame_start,frame_end,rotation_error_deg,translation_error_deg,num_matches,num_inliers,mean_reprojection_error_px
seq4,xfeat,0,3,26.001776307176897,90.0,48,48,0.0
seq4,xfeat,3,6,139.54242329668608,90.0,6,6,0.0
seq4,xfeat,6,7,54.99334005541768,90.0,6,6,0.0
seq4,xfeat,7,8,27.293665990605522,90.0,7,7,0.0
seq4,xfeat,8,9,60.38309220999121,90.0,49,49,0.0
seq4,xfeat,9,10,39.010752291554766,90.0,7,7,0.0
seq4,xfeat,10,11,130.02344838405506,90.0,7,7,0.0
seq4,xfeat,11,12,57.75285544959655,90.0,31,31,0.0
seq4,xfeat,12,13,131.06188041533682,90.0,7,7,0.0
seq4,xfeat,13,14,50.01678619176383,90.0,34,34,0.0
seq4,xfeat,14,15,82.44255584904349,90.0,16,16,0.0
seq4,xfeat,15,16,44.6164390294127,90.0,48,48,0.0
seq4,xfeat,16,17,61.551407734327974,90.0,16,16,0.0
seq4,xfeat,17,18,23.31226895749857,90.0,41,41,0.0
seq4,xfeat,18,19,28.067684546302107,90.0,18,18,0.0
seq4,xfeat,19,20,44.98193709453882,90.0,22,22,0.0
seq4,xfeat,20,21,58.184260110068735,90.0,9,9,0.0
seq4,xfeat,21,22,118.39190253369237,90.0,6,6,0.0
seq4,xfeat,22,23,30.409728190480365,90.0,23,23,0.0
seq4,xfeat,23,24,56.38632708986005,90.0,6,6,0.0
seq4,xfeat,24,26,72.74542812891771,90.0,6,6,0.0
seq4,xfeat,26,27,49.44411194052874,90.0,6,6,0.0
seq4,xfeat,27,28,97.06567812375052,90.0,6,6,0.0
seq4,xfeat,28,31,66.62683256874185,90.0,6,6,0.0
seq4,xfeat,31,32,42.272863046750466,90.0,27,27,0.0
seq4,xfeat,32,33,72.28335082911536,90.0,8,8,0.0
seq4,xfeat,33,34,86.88288393355198,90.0,6,6,0.0
seq4,xfeat,34,35,37.46690054196204,90.0,137,137,0.0
seq4,xfeat,35,36,34.997849242631744,90.0,131,131,0.0
seq4,xfeat,36,37,41.68970500145722,90.0,154,154,0.0
seq4,xfeat,37,38,14.88434647932387,90.0,393,393,0.0
seq4,xfeat,38,39,8.603119087825075,90.0,104,104,0.0
seq4,xfeat,39,40,22.476131869049418,90.0,20,20,0.0
seq4,xfeat,40,41,147.3432484640995,90.0,8,8,0.0
seq4,xfeat,41,44,26.20316876739561,90.0,8,8,0.0
seq4,xfeat,44,45,10.979955228815548,90.0,153,153,0.0
seq4,xfeat,45,46,14.691517095627589,90.0,93,93,0.0
seq4,xfeat,46,48,108.33746375004725,90.0,7,7,0.0
seq4,xfeat,48,49,22.2961598836372,90.0,43,43,0.0
