video,matcher,frame_start,frame_end,rotation_error_deg,translation_error_deg,num_matches,num_inliers,mean_reprojection_error_px
sigmoid_t2_a,gim-lg,0,1,1.5285974729783878,6.06544236265502,127,127,50.53660080006056
sigmoid_t2_a,gim-lg,1,2,6.229429564214231,28.713227882393912,110,110,87.58581661212817
sigmoid_t2_a,gim-lg,2,3,0.2845430238984925,3.447936690885964,94,94,21.10940212110655
sigmoid_t2_a,gim-lg,3,4,0.06834008799681478,2.3930556784545214,136,136,25.715325740086623
sigmoid_t2_a,gim-lg,4,5,4.545987042543243,66.31858052225076,170,170,25.816132341289148
sigmoid_t2_a,gim-lg,5,6,0.30348497842442784,14.294294281343342,159,159,8.966044126715325
sigmoid_t2_a,gim-lg,6,7,0.30636304171625894,10.49441526025859,181,181,31.118743532921414
sigmoid_t2_a,gim-lg,7,8,0.5208455176922017,5.985800060646775,160,160,38.93959807904396
sigmoid_t2_a,gim-lg,8,9,0.1203787188161696,9.704579063522607,179,179,44.09409062102843
sigmoid_t2_a,gim-lg,9,10,0.2804870857954081,9.536541288305694,184,184,34.58593460059435
sigmoid_t2_a,gim-lg,10,11,0.18698539803545725,10.236314985287358,144,144,39.25113449795582
sigmoid_t2_a,gim-lg,11,12,0.43673326123420947,12.727371228232922,176,176,28.950944546535595
sigmoid_t2_a,gim-lg,12,13,0.23986838595249693,14.721991351565519,218,218,14.493574471401258
sigmoid_t2_a,gim-lg,13,14,0.16157045392737843,17.180051346432574,303,303,2.804039122266982
sigmoid_t2_a,gim-lg,14,15,0.18628201523273968,28.38247478791047,389,389,11.815201980556873
sigmoid_t2_a,gim-lg,15,16,0.0,58.255004765588446,656,656,24.59141877900598
