video,matcher,frame_start,frame_end,rotation_error_deg,translation_error_deg,num_matches,num_inliers,mean_reprojection_error_px
sigmoid_t3_a,xfeat,0,1,1.0132077293428192,33.643680697400704,120,120,1.9843944636209265
sigmoid_t3_a,xfeat,1,2,0.3293026228331678,12.574382117938626,167,167,3.0701873890060902
sigmoid_t3_a,xfeat,2,3,0.10929630892166341,25.66724141143063,254,254,16.344437580433148
sigmoid_t3_a,xfeat,3,4,0.13029389916377676,32.976219906630234,228,228,9.611632926452067
sigmoid_t3_a,xfeat,4,5,0.36635821752555797,28.89727556390772,168,168,2.375218734012406
sigmoid_t3_a,xfeat,5,6,0.6428320494509623,22.67135587804415,181,181,6.639691634636062
sigmoid_t3_a,xfeat,6,7,0.4571891958697691,42.01036073636766,191,191,5.616270593264738
sigmoid_t3_a,xfeat,7,8,0.31260495413855877,55.55354760878414,244,244,1.9928000048545105
sigmoid_t3_a,xfeat,8,9,0.29572004811545777,55.669779740089865,285,285,6.7635628912279975
sigmoid_t3_a,xfeat,9,11,0.17651653088714755,61.26095244040183,280,280,8.453648160320816
sigmoid_t3_a,xfeat,11,12,0.5227855541008407,85.01336019763859,192,192,13.607171941646891
sigmoid_t3_a,xfeat,12,13,1.3235782700060694,86.42028759354493,67,67,60.803276121539774
sigmoid_t3_a,xfeat,13,14,1.3647992946047982,87.13464859576408,81,81,63.79264937057613
sigmoid_t3_a,xfeat,14,15,1.4995035633995017,60.59693942264914,280,280,10.817548972634109
sigmoid_t3_a,xfeat,15,16,6.0794107618998945,61.06421183977952,19,19,71.7416934168025
sigmoid_t3_a,xfeat,16,17,11.474661535938276,79.51507068107286,8,8,127.6514975293672
sigmoid_t3_a,xfeat,17,18,0.4488484105418898,81.63766448313129,263,263,9.37028081103644
sigmoid_t3_a,xfeat,18,19,0.08394506909147333,59.2606407705687,811,811,48.82353857348626
sigmoid_t3_a,xfeat,19,20,0.06967413931329816,72.98793816093065,665,665,35.87515013934967
