video,matcher,frame_start,frame_end,rotation_error_deg,translation_error_deg,num_matches,num_inliers,mean_reprojection_error_px
sigmoid_t3_b,gim-lg,0,1,0.08173878072253929,68.86496967504296,184,184,4.3060059805365265
sigmoid_t3_b,gim-lg,1,2,0.19826737861833735,68.42537131135624,141,141,8.324109873271102
sigmoid_t3_b,gim-lg,2,3,1.541245674360377,80.73732210580287,140,140,20.673251843936974
sigmoid_t3_b,gim-lg,3,4,0.4206723131523005,66.73352076098801,181,181,12.616254362622877
sigmoid_t3_b,gim-lg,4,5,0.4390511101325562,74.19153583331922,277,277,11.916544052837823
sigmoid_t3_b,gim-lg,5,6,0.3569771171804783,59.60365799396704,323,323,8.452847566610345
sigmoid_t3_b,gim-lg,6,7,0.10685778208953163,37.17320558978418,617,617,7.137586353039012
sigmoid_t3_b,gim-lg,7,8,0.044713160667371514,40.93654502034044,536,536,3.8649702127502104
sigmoid_t3_b,gim-lg,8,9,0.2241544684398758,42.68149479496242,367,367,6.3713166010406805
sigmoid_t3_b,gim-lg,9,10,0.08317958310520589,43.972388089989096,551,551,8.981669472550326
sigmoid_t3_b,gim-lg,10,11,0.0,44.18105500065227,773,773,15.950289812181625
sigmoid_t3_b,gim-lg,11,12,0.1898755649434794,36.52305816560761,515,515,1.644334907310829
sigmoid_t3_b,gim-lg,12,13,0.12595313516773676,31.37369833309887,367,367,15.462089495578967
sigmoid_t3_b,gim-lg,13,14,1.3715878485030004,44.72441697814442,248,248,15.86197467935922
sigmoid_t3_b,gim-lg,14,15,0.04430805607003116,23.207881665790655,209,209,16.897958446567817
sigmoid_t3_b,gim-lg,15,16,0.3227618344910518,19.657171137942733,214,214,10.791746489639603
sigmoid_t3_b,gim-lg,16,17,0.13640825173002413,32.021105433608156,301,301,4.045711252387264
