video,matcher,frame_start,frame_end,rotation_error_deg,translation_error_deg,num_matches,num_inliers,mean_reprojection_error_px
trans_t1_b,gim-lg,0,1,2.752054966367192,80.33597823175474,164,164,18.270447034196824
trans_t1_b,gim-lg,1,2,2.605470101773648,87.28782289431322,222,222,12.240309134380606
trans_t1_b,gim-lg,2,3,0.7215589191967782,80.6174845729993,321,321,3.500234066422487
trans_t1_b,gim-lg,3,4,0.0,26.9279219945052,458,458,25.908198700031246
trans_t1_b,gim-lg,4,5,1.0446115066803823,62.06775042819316,252,252,3.41322814648547
trans_t1_b,gim-lg,5,6,1.965573281507772,65.10887408139436,196,196,9.284345957174947
trans_t1_b,gim-lg,6,7,2.568182571696337,67.79066191514104,142,142,13.457667339561237
trans_t1_b,gim-lg,7,8,0.13317215915100356,41.11888517381554,169,169,22.93406429496202
trans_t1_b,gim-lg,8,9,0.26760403961877777,37.0885081920356,323,323,2.215405258218913
trans_t1_b,gim-lg,9,11,0.9403834260826487,73.78716178854569,462,462,8.244892839637682
trans_t1_b,gim-lg,11,12,0.010241029100313982,61.05317101315273,355,355,3.691115658576205
trans_t1_b,gim-lg,12,13,0.18449849820283254,67.26944713369863,283,283,2.321529898051633
trans_t1_b,gim-lg,13,14,0.21729277521840984,75.54945347199565,403,403,9.652960696783152
trans_t1_b,gim-lg,14,15,0.109615280661351,58.267886804495014,539,539,18.83295347689154
trans_t1_b,gim-lg,15,17,0.1634354469042526,41.514672260666615,459,459,15.770526560248602
trans_t1_b,gim-lg,17,18,0.11679564244498707,43.811040401882195,457,457,12.945815243036222
trans_t1_b,gim-lg,18,19,0.3032850085789339,57.953145266841176,485,485,17.603294876832734
trans_t1_b,gim-lg,19,20,0.11438722716190672,44.52642134818109,454,454,11.724716780915847
trans_t1_b,gim-lg,20,21,0.15663140444014256,43.044890787731205,442,442,12.426827987457083
trans_t1_b,gim-lg,21,22,0.19439798734143018,47.41641578718584,527,527,12.176986029767535
trans_t1_b,gim-lg,22,23,0.382346400925209,22.206892498567427,468,468,22.425867537705503
