video,matcher,frame_start,frame_end,rotation_error_deg,translation_error_deg,num_matches,num_inliers,mean_reprojection_error_px
trans_t4_a,gim-lg,0,1,0.14168942451170874,29.563755378608654,332,332,10.195037881596727
trans_t4_a,gim-lg,1,2,26.33049663813292,78.96150972106076,46,46,349.94426988995536
trans_t4_a,gim-lg,2,3,0.21775353281918458,33.1739094636077,55,55,85.93796894768965
trans_t4_a,gim-lg,3,4,0.5265322710189725,35.39848221046592,43,43,112.86848651692549
trans_t4_a,gim-lg,4,5,0.5527688764037937,39.61444705760752,57,57,88.78615759674803
trans_t4_a,gim-lg,5,6,0.13745454256016357,41.30434473851624,170,170,42.33769121915006
trans_t4_a,gim-lg,6,7,1.0912487456225903,27.668110151196895,42,42,148.67107837273582
trans_t4_a,gim-lg,7,8,0.31208924190067105,29.24816230007675,150,150,61.081244964366654
trans_t4_a,gim-lg,8,9,0.9889884176160614,26.686155934094682,97,97,73.98487452217252
trans_t4_a,gim-lg,9,10,1.559164573399134,29.63136671907132,74,74,78.21232907472455
trans_t4_a,gim-lg,10,11,0.0,16.61297790552138,743,743,21.86492442398521
trans_t4_a,gim-lg,11,12,0.06980431767477399,53.380363305814726,1104,1104,36.166043638044854
